player,nba_id,team_id,team,DRAFT_YEAR,DRAFT_NUMBER
Eubanks Drew,1629234,1610612762,UTA,,
Evbuomwan Tosan,1641787,1610612765,DET,,
Exum Dante,203957,1610612742,DAL,2014.0,5.0
Fernando Bruno,1628981,1610612761,TOR,2019.0,34.0
Fiedler Max,1642499,1610612755,PHI,,
Filipowski Kyle,1642271,1610612762,UTA,2024.0,32.0
Finney-Smith Dorian,1627827,1610612751,BKN,,
Flagler Adam,1641745,1610612760,OKC,,
Flowers Trentyn,1642280,1610612746,LAC,,
Flynn Malachi,1630201,1610612759,SAS,2020.0,29.0
Fontecchio Simone,1631323,1610612765,DET,,
Ford Jordan,1630259,1610612758,SAC,,
Forrest Trent,1630235,1610612737,ATL,,
Fox De'Aaron,1628368,1610612758,SAC,2017.0,5.0
Freeman Enrique,1642402,1610612754,IND,2024.0,50.0
Furphy Johnny,1642277,1610612754,IND,2024.0,35.0
Gafford Daniel,1629655,1610612742,DAL,2019.0,38.0
Gallinari Danilo,201568,1610612749,MIL,2008.0,6.0
Gardner Myron,1642066,1610612753,ORL,,
Garland Darius,1629636,1610612739,CLE,2019.0,5.0
Garrett Marcus,1630585,1610612766,CHA,,
Garuba Usman,1630586,1610612744,GSW,2021.0,23.0
Garza Luka,1630568,1610612750,MIN,2021.0,52.0
George Keyonte,1641718,1610612762,UTA,2023.0,16.0
George Kyshawn,1642273,1610612764,WAS,2024.0,24.0
George Paul,202331,1610612755,PHI,2010.0,10.0
Gibson Taj,201959,1610612766,CHA,2009.0,26.0
Giddey Josh,1630581,1610612741,CHI,2021.0,6.0
Giles III Harry,1628385,1610612747,LAL,2017.0,20.0
Gilgeous-Alexander Shai,1628983,1610612760,OKC,2018.0,11.0
Gill Anthony,1630264,1610612764,WAS,,
Gillespie Collin,1631221,1610612756,PHX,,
Gobert Rudy,203497,1610612750,MIN,2013.0,27.0
Goodwin Jordan,1630692,1610612747,LAL,,
Gordon Aaron,203932,1610612743,DEN,2014.0,4.0
